area,bath_rooms,link,price,rooms,zone
                    170,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen_san_bernardo-det-5270980.aspx,300,3,Medellín Belén San Bernardo
                    62,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/las_cometas-det-5287838.aspx,212,3,Envigado Las cometas
                    84,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/otra_parte-det-5360983.aspx,395,3,Envigado otra parte 
                    76,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen_granada-det-5350288.aspx,300,3,Medellín BELEN GRANADA
                    85,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen_fatima-det-4794992.aspx,285,3,Medellín Belen Fatima
                    90,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/estadio-det-4579205.aspx,280,3,Medellín Estadio
                    105,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/laureles-det-5351599.aspx,345,3,Medellín Laureles
                    66,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/pan_azucar-det-5399744.aspx,290,3,Sabaneta Pan de Azucar
                    79,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz-det-5368392.aspx,320,3,Medellín Calasanz
                    68,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_colores-det-5393395.aspx,345,3,Medellín Los Colores
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/aves_mara-det-5312823.aspx,250,3,Sabaneta AVES MARA
                    92,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/aves_maria-det-5357058.aspx,360,3,Sabaneta AVES MARIA
                    78,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/dorado-det-5322002.aspx,345,3,Envigado El Dorado
                    107,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-estrella/ospina-det-5342811.aspx,375,3,La Estrella La Ospina
                    86,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/loma_las_brujas-det-5391563.aspx,400,3,Envigado LOMA DE LAS BRUJAS
                    79,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/pan_azucar-det-3740581.aspx,330,3,Sabaneta PAN DE AZUCAR
                    110,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/portal-det-5376091.aspx,400,3,Envigado EL PORTAL
                    63,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/calle_larga-det-5357153.aspx,240,3,Sabaneta CALLE LARGA
                    78,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/aves_mara-det-5364952.aspx,320,3,Sabaneta AVES MARA
                    76,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz-det-5360060.aspx,310,3,Medellín Calasanz
                    84,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/pan_azucar-det-4798416.aspx,383,3,Sabaneta PAN DE AZUCAR
                    74,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-estrella/suramerica-det-5354706.aspx,305,3,La Estrella suramerica
                    63,2,https://www.fincaraiz.com.co/apartamento-en-venta/rionegro/rionegro-det-5292876.aspx,254,3,Rionegro Rionegro
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/ditaires-det-4847542.aspx,320,3,Itaguí Ditaires
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/laureles-det-5393805.aspx,370,3,Medellín Laureles
                    83,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/los_alcazares-det-5281280.aspx,395,3,Sabaneta LOS ALCAZARES
                    71,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_colores-det-5211024.aspx,345,3,Medellín Los Colores
