area,bath_rooms,link,price,rooms,zone
70,2,https://www.lahaus.com/p/apartamento-gualandayes-envigado-69mt-tres-alcobas/envigado,200,3,"    El Dorado, Envigado, Antioquia, Colombia  "
150,2,https://www.lahaus.com/p/apartamento-en-arroyo-de-la-honda-con-3-habitaciones-149-6mt2/envigado,480,3,"    El Esmeraldal, Envigado, Antioquia, Colombia  "
80,2,https://www.lahaus.com/p/apartamento-en-loma-del-barro-envigado-con-3-habitaciones-80-mt2/envigado,300,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
115,3,https://www.lahaus.com/p/apartamento-en-el-dorado-envigado-115mt-piso-4-balcon/envigado,350,3,"    Mesa, Envigado, Antioquia, Colombia  "
94,2,https://www.lahaus.com/p/ibiza-55913/envigado,310,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
86,2,https://www.lahaus.com/p/apartamento-en-venta-sector-la-inmaculada-envigado-cod-19095/envigado,354,3,"    Loma de Cumbres, Envigado, Antioquia, Colombia  "
95,2,https://www.lahaus.com/p/vendo-apartamento-sector-la-paz-envigado/envigado,320,3,"    La Paz, Envigado, Antioquia, Colombia  "
92,2,https://www.lahaus.com/p/reserva-del-portal-100149/envigado,430,3,"    El Portal, Envigado, Antioquia, Colombia  "
90,2,https://www.lahaus.com/p/apartamento-en-envigado-loma-de-cumbres-con-3-habitaciones-89-9-mt2/envigado,430,3,"    Loma de Cumbres, Envigado, Antioquia, Colombia  "
101,2,https://www.lahaus.com/p/apartamento-en-tierra-grata-cumbres-envigado-con-3-habitacion-100-6mt2/envigado,430,3,"    La Abadía, Envigado, Antioquia, Colombia  "
72,2,https://www.lahaus.com/p/apartamento-en-la-magnolia-envigado-tres-alcobas-70341/envigado,215,3,"    La Magnolia, Envigado, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/se-vende-apartamento-en-el-sector-de-senorial/envigado,330,3,"    La Paz, Envigado, Antioquia, Colombia  "
65,2,https://www.lahaus.com/p/venta-de-apartamento-en-envigado-la-cuenca/envigado,300,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
125,4,https://www.lahaus.com/p/apartamento-en-loma-del-escobero-envigado-tres-alcobas-82125/envigado,480,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-envigado-la-cuenca-con-3-habitaciones-75-mt2/envigado,338,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
80,2,https://www.lahaus.com/p/dorado-tower-11780/envigado,270,3,"    El Dorado, Envigado, Antioquia, Colombia  "
63,2,https://www.lahaus.com/p/mississippi-de-la-cuenca-55900/envigado,257,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
108,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-16952/envigado,430,4,"    Loma de Benedictinos, Envigado, Antioquia, Colombia  "
64,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-17463/envigado,280,3,"    Alcalá, Envigado, Antioquia, Colombia  "
111,2,https://www.lahaus.com/p/apartamento-en-la-abadia-envigado-111mt-tres-alcobas-balcon-79916/envigado,330,3,"    La Abadía, Envigado, Antioquia, Colombia  "
132,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-6950/envigado,330,4,"    Mesa, Envigado, Antioquia, Colombia  "
125,4,https://www.lahaus.com/p/apartamento-en-loma-del-escobero-envigado-125mt-tres-alcobas-balcon-81190/envigado,480,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
83,2,https://www.lahaus.com/p/apartamento-en-la-abadia-envigado-82mt-tres-alcobas-balcon/envigado,390,3,"    El Esmeraldal, Envigado, Antioquia, Colombia  "
78,2,https://www.lahaus.com/p/apartamento-en-aluna-envigado-las-antillas-con-tres-alcobas/envigado,368,3,"    Las Antillas, Envigado, Antioquia, Colombia  "
123,2,https://www.lahaus.com/p/villa-fontana-109807/envigado,470,3,"    Otra Parte, Envigado, Antioquia, Colombia  "
94,2,https://www.lahaus.com/p/apartamento-en-venta-en-la-abadia-de-tres-alcobas-100388/envigado,390,3,"    La Abadía, Envigado, Antioquia, Colombia  "
82,2,https://www.lahaus.com/p/apartamento-en-venta-senorial-97558/envigado,365,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
109,3,https://www.lahaus.com/p/apartamento-en-loma-de-las-brujas-envigado-109mt-tres-alcobas-balcon/envigado,500,3,"    Loma de Las Brujas, Envigado, Antioquia, Colombia  "
100,2,https://www.lahaus.com/p/apartamento-en-la-loma-de-las-brujas-envigado-cuenta-con-tres-habitaciones/envigado,310,3,"    Loma de Las Brujas, Envigado, Antioquia, Colombia  "
80,2,https://www.lahaus.com/p/castelli-94412/envigado,364,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
128,4,https://www.lahaus.com/p/apartamento-en-envigado-el-escobero-128-mts-1-parqueadero/envigado,380,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
97,2,https://www.lahaus.com/p/apartamento-en-la-paz-envigado-tres-alcobas-70348/envigado,330,3,"    La Paz, Envigado, Antioquia, Colombia  "
85,2,https://www.lahaus.com/p/apartamento-en-la-abadia-85-mts-2-parqueaderos/envigado,429,3,"    El Esmeraldal, Envigado, Antioquia, Colombia  "
78,2,https://www.lahaus.com/p/apartamento-en-el-esmeraldal-envigado-cuenta-con-tres-habitaciones/envigado,379,3,"    Mesa, Envigado, Antioquia, Colombia  "
93,2,https://www.lahaus.com/p/apartamento-para-laventa-en-loma-del-barro-envigado-3-alcobas/envigado,310,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
88,2,https://www.lahaus.com/p/nubenzza-60994/envigado,450,3,"    La Paz, Envigado, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/apartamento-en-venta-en-las-antillas-87mt-con-balcon/envigado,370,3,"    Las Antillas, Envigado, Antioquia, Colombia  "
92,2,https://www.lahaus.com/p/brujas-campestre-103915/envigado,430,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
112,2,https://www.lahaus.com/p/montesole-54807/envigado,490,3,"    Alcalá, Envigado, Antioquia, Colombia  "
89,2,https://www.lahaus.com/p/apartamento-en-venta-en-envigado-cumbres-103955/envigado,400,3,"    Loma de Cumbres, Envigado, Antioquia, Colombia  "
73,2,https://www.lahaus.com/p/apartamento-en-milan-envigado-cuenta-con-tres-habitaciones/envigado,270,3,"    Alcalá, Envigado, Antioquia, Colombia  "
77,2,https://www.lahaus.com/p/apartamento-en-las-antilla-envigado-tres-alcobas/envigado,355,3,"    Las Antillas, Envigado, Antioquia, Colombia  "
87,3,https://www.lahaus.com/p/venta-apartamento-en-envigado-98911/envigado,340,3,"    La Paz, Envigado, Antioquia, Colombia  "
94,2,https://www.lahaus.com/p/apartamento-en-la-loma-de-las-brujas-envigado-cuenta-con-tres-habitaciones-69681/envigado,390,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
137,4,https://www.lahaus.com/p/venta-apartamento-loma-del-escobero-envigado-103803/envigado,370,4,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
83,2,https://www.lahaus.com/p/arrecifes-de-la-abadia-103682/envigado,399,3,"    La Abadía, Envigado, Antioquia, Colombia  "
92,2,https://www.lahaus.com/p/apartamento-en-venta-sector-loma-de-las-brujas-envigado-cod-19438/envigado,463,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
110,2,https://www.lahaus.com/p/murano-61205/envigado,490,3,"    El Dorado, Envigado, Antioquia, Colombia  "
