area,bath_rooms,link,prize,rooms,zone
130,3,https://www.lahaus.com/p/venta-apartamento-en-el-centro-3-alcobas-38754/medellin,260,3,"    La Candelaria, Medellín, Antioquia, Colombia  "
148,3,https://www.lahaus.com/p/apartamento-en-san-miguel-villa-hermosa-tres-alcobas/medellin,280,3,"    San Miguel, Medellín, Antioquia, Colombia  "
68,3,https://www.lahaus.com/p/venta-apartamento-en-robledo-sector-san-german-con-3-closet/medellin,315,3,"    San Germán, Medellín, Antioquia, Colombia  "
84,3,https://www.lahaus.com/p/venta-apartamento-colores-medellin-95798/medellin,400,3,"    Cuarta Brigada, Medellín, Antioquia, Colombia  "
108,3,https://www.lahaus.com/p/apartamento-en-calasanz-la-america-108mt-tres-alcobas-balcon/medellin,495,3,"    Santa Lucía, Medellín, Antioquia, Colombia  "
94,3,https://www.lahaus.com/p/apartamento-en-venta-en-belen-granada-medellin/medellin,380,3,"    Belén Centro, Medellín, Antioquia, Colombia  "
165,6,https://www.lahaus.com/p/casa-bifamiliar-en-venta-en-belen-sector-san-bernardo-cuenta-con-amplio-balcon/medellin,320,6,"    Belén Centro, Medellín, Antioquia, Colombia  "
76,3,https://www.lahaus.com/p/apartamento-en-venta-calasanz-101604/medellin,320,3,"    Calasanz, Medellín, Antioquia, Colombia  "
70,3,https://www.lahaus.com/p/apartamento-en-el-estadio-los-colores-con-3-habitaciones-70-mt2/medellin,280,3,"    Los Colores, Medellín, Antioquia, Colombia  "
77,3,https://www.lahaus.com/p/apartamento-en-venta-los-colores-101380/medellin,320,3,"    Los Colores, Medellín, Antioquia, Colombia  "
95,3,https://www.lahaus.com/p/se-vende-apartamento-en-florida-nueva-medellin/medellin,425,3,"    Florida Nueva, Medellín, Antioquia, Colombia  "
212,4,https://www.lahaus.com/p/venta-apartamento-barrio-el-estadio/medellin,379,4,"    Suramericana, Medellín, Antioquia, Colombia  "
70,3,https://www.lahaus.com/p/venta-apartamento-en-la-milagrosa/medellin,200,3,"    Cataluña, Medellín, Antioquia, Colombia  "
