area,bath_rooms,link,price,rooms,zone
85,3,https://www.lahaus.com/p/apartamento-en-sabaneta-sabaneta-28473/sabaneta,350,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
68,1,https://www.lahaus.com/p/maderos-del-campo-3-109466/sabaneta,270,3,"    San José, Sabaneta, Antioquia, Colombia  "
100,2,https://www.lahaus.com/p/apartamento-en-santa-ana-sabaneta-cuenta-con-tres-habitaciones/sabaneta,280,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
68,2,https://www.lahaus.com/p/apartamento-en-sabaneta-sabaneta-20140/sabaneta,285,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
93,3,https://www.lahaus.com/p/apartamento-en-aves-marias-sabaneta-tres-alcobas-79996/sabaneta,368,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
127,3,https://www.lahaus.com/p/apartamento-sabaneta-sector-aves-maria-piso-11/sabaneta,360,3,"    Cañaveralejo, Sabaneta, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/venta-apartamento-en-sabaneta-3-alcobas-35007/sabaneta,245,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
105,2,https://www.lahaus.com/p/apartamento-en-el-carmelo-sabaneta-tres-alcobas-72841/sabaneta,450,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/apartamento-en-venta-aves-maria-94717/sabaneta,260,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
64,2,https://www.lahaus.com/p/excelente-apartamento-en-sabaneta/sabaneta,258,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
89,2,https://www.lahaus.com/p/apartamento-en-venta-el-trapiche-101656/sabaneta,340,3,"    Pan de Azúcar, Sabaneta, Antioquia, Colombia  "
77,2,https://www.lahaus.com/p/apartamento-en-la-doctora-sabaneta-77mt-tres-alcobas-balcon/sabaneta,265,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
127,3,https://www.lahaus.com/p/torre-cigarras-42793/sabaneta,430,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
127,3,https://www.lahaus.com/p/apartamento-en-aves-maria-sabaneta-127mt-tres-alcobas-balcon-72919/sabaneta,395,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
109,2,https://www.lahaus.com/p/apartamento-en-sabaneta-la-doctora-109mt-tres-alcobas-cuarto-util/sabaneta,315,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
108,2,https://www.lahaus.com/p/vendo-apartamento-en-sabaneta-19950/sabaneta,390,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
65,2,https://www.lahaus.com/p/apartamento-en-sabaneta-ancon-con-3-habitaciones-65-mt2/sabaneta,305,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
95,2,https://www.lahaus.com/p/marruecos-95384/sabaneta,255,3,"    Virgen del Carmen, Sabaneta, Antioquia, Colombia  "
78,2,https://www.lahaus.com/p/apartamento-en-venta-en-av-las-vegas-sabaneta-97411/sabaneta,230,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
79,2,https://www.lahaus.com/p/apartamento-en-venta-sector-prados-de-sabaneta-46076/sabaneta,339,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
73,2,https://www.lahaus.com/p/maderos-del-campo-12445/sabaneta,315,3,"    San José, Sabaneta, Antioquia, Colombia  "
83,2,https://www.lahaus.com/p/alaia-mantra-39437/sabaneta,300,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/apartamento-en-la-doctora-sabaneta-70mt-tres-alcobas-balcon/sabaneta,300,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
160,4,https://www.lahaus.com/p/apartamento-de-160m2-en-aves-maria-sabaneta-con-tres-habitaciones/sabaneta,500,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
136,3,https://www.lahaus.com/p/apartamento-en-sabaneta-aves-maria-con-3-habitaciones-136-mt2/sabaneta,470,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
67,2,https://www.lahaus.com/p/apartamento-en-sabaneta-las-lomitas-con-3-habitaciones-67-mt2/sabaneta,250,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/apartamento-en-venta-en-sabaneta-110124/sabaneta,267,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
120,2,https://www.lahaus.com/p/mocca-60771/sabaneta,410,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
94,2,https://www.lahaus.com/p/apartamento-de-94m2-en-aves-maria-sabaneta-con-tres-habitaciones/sabaneta,310,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
75,1,https://www.lahaus.com/p/apartamento-en-sabaneta-con-3-habitaciones-75mt2/sabaneta,340,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
71,2,https://www.lahaus.com/p/apartamento-en-venta-en-sabaneta-110131/sabaneta,275,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/vendoapartamentosabanetap8c/sabaneta,340,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
93,2,https://www.lahaus.com/p/apartamento-sabaneta-parque/sabaneta,340,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
85,2,https://www.lahaus.com/p/apartamento-en-venta-sector-entreamigos-sabaneta-cod-19581/sabaneta,290,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-para-la-venta-en-sabaneta-sector-la-florida-cod-7907/sabaneta,300,3,"    Asdesillas, Sabaneta, Antioquia, Colombia  "
76,2,https://www.lahaus.com/p/apartamento-de-76m2-en-sabaneta-san-jose-con-tres-habitaciones/sabaneta,330,3,"    San José, Sabaneta, Antioquia, Colombia  "
89,2,https://www.lahaus.com/p/apartamento-en-venta-en-entreamigos-sabaneta-109739/sabaneta,205,4,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-sabaneta-ancon-con-3-habitaciones-75-mt2-69268/sabaneta,330,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
85,2,https://www.lahaus.com/p/apartamento-en-calle-larga-sabaneta-85mt-tres-alcobas-balcon/sabaneta,305,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
92,2,https://www.lahaus.com/p/mocaccino-97310/sabaneta,450,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
120,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-14427/sabaneta,350,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
85,2,https://www.lahaus.com/p/se-vende-apartamento-en-sabaneta-105607/sabaneta,290,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
